2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:51		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:52		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
2020-01-30/21:22:53		 wafer_23012020_041211.csv: File loaded successfully!!
